id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-08-24 23:27:09,"{""short_code"":""TA8G43"",""original_url"":""https://seeded.app/amber/meadow/1""}"
2,2,367,created,2025-11-19 20:56:22,"{""short_code"":""H6ENul"",""original_url"":""https://acme.dev/tidy/network/2""}"
3,3,151,created,2025-03-14 03:00:11,"{""short_code"":""WzOmOP"",""original_url"":""https://hackstack.io/harbor/garden/3""}"
4,4,220,created,2026-01-10 11:55:57,"{""short_code"":""NLlM8M"",""original_url"":""https://example.com/young/journey/4""}"
5,5,145,created,2025-05-01 18:40:49,"{""short_code"":""ucuPlN"",""original_url"":""https://hackstack.io/proud/quartz/5""}"
6,6,242,created,2025-07-14 21:12:09,"{""short_code"":""WTX7jy"",""original_url"":""https://example.com/silver/journey/6""}"
7,7,56,created,2025-12-06 14:07:41,"{""short_code"":""jOPnks"",""original_url"":""https://hackstack.io/cobalt/trail/7""}"
8,8,64,created,2025-06-30 01:33:55,"{""short_code"":""nQYIgf"",""original_url"":""https://example.com/amber/valley/8""}"
9,9,84,created,2025-04-06 08:29:37,"{""short_code"":""9kPGnp"",""original_url"":""https://acme.dev/tidy/uplink/9""}"
10,10,53,created,2025-06-26 04:06:08,"{""short_code"":""gg9N8q"",""original_url"":""https://opswise.net/tidy/signal/10""}"
11,11,374,created,2025-11-08 19:06:34,"{""short_code"":""AFK4wW"",""original_url"":""https://hackstack.io/navy/harvest/11""}"
12,12,40,created,2025-04-08 13:25:17,"{""short_code"":""W8gfnM"",""original_url"":""https://example.com/ember/kernel/12""}"
13,13,256,created,2025-03-19 03:53:01,"{""short_code"":""GkLnUg"",""original_url"":""https://opswise.net/clear/pioneer/13""}"
14,14,176,created,2025-08-01 17:06:23,"{""short_code"":""zW0N1Y"",""original_url"":""https://example.com/clear/meadow/14""}"
15,15,83,created,2025-04-13 03:50:41,"{""short_code"":""VHihyU"",""original_url"":""https://example.com/cobalt/lagoon/15""}"
16,16,289,created,2025-12-11 11:01:44,"{""short_code"":""iKl7vy"",""original_url"":""https://acme.dev/brisk/pioneer/16""}"
17,17,285,created,2025-04-15 10:51:54,"{""short_code"":""VEDiSd"",""original_url"":""https://seeded.app/ivory/island/17""}"
